Name,Address,Phone no,Area,Image URL
AC Hotel by Marriott Dallas Downtown,1712 commerce ,214-290-0111,main street district,https://downtowndallas.com/wp-content/uploads/2018/09/AC-Marriot.jpg
ADOLPHUS HOTEL,1231 coomerce st.,214-742-8200,main street district,https://downtowndallas.com/wp-content/uploads/2018/09/Adolphus.jpg
ALOFT,1033 young street,214-761-0000,civic center,https://downtowndallas.com/wp-content/uploads/2018/09/Aloft.jpg
BELMONT HOTEL,901 fort worth Av ,214-393-2300,trinity groves ,https://downtowndallas.com/wp-content/uploads/2018/09/Belmont.jpg
CAMBRIA HOTEL, 1907 Elm St ,214-220-2900,main street district,https://downtowndallas.com/wp-content/uploads/2018/09/Cambria.jpg
CANOPY BY HILTON,2950 Cityplace West ,214-522-2929,Uptown ,https://downtowndallas.com/wp-content/uploads/2018/09/Canopy.jpg
COURTYARD BY MARRIOTT,310 S Houston st,214-238-6589,main street district,https://downtowndallas.com/wp-content/uploads/2018/09/Courtyard-by-marriot.jpg
CROWNE PLAZA DALLAS,1015 Elm Street ,877-270-1393,main street district,https://downtowndallas.com/wp-content/uploads/2018/09/crowne-plaza-dallas-e1546627876794.jpeg
DALLAS MARRIOTT DOWNTOWN,650 North Pearl St,214-979-9000,main street district,https://downtowndallas.com/wp-content/uploads/2018/09/Lobby_JPG.jpg
ELEMENT BY WESTIN,4005 Gaston ,469-399-1049,Old East Dallas ,https://downtowndallas.com/wp-content/uploads/2018/09/Element.jpg
FAIRFIELD INN,555 S Ervay,,civic center,https://downtowndallas.com/wp-content/uploads/2018/09/Fairfield-inn.jpg
FAIRMONT HOTEL,1717 North Akard str ,214-720-2020,Dallas Arts District ,https://downtowndallas.com/wp-content/uploads/2018/09/Fairmont.jpg
HALL ARTS HOTEL,2323 Ross Ave,214-269-9535,Dallas Arts District ,https://downtowndallas.com/wp-content/uploads/2018/09/Hall-arts.png
HAMPTON INN & SUITES DALLAS DOWNTOWN,1700 Commerce Street,214-290-9090,main street district,https://downtowndallas.com/wp-content/uploads/2018/09/hampton-inn-suites-dallas.jpg
HILTON GARDEN INN DOWNTOWN DALLAS,1600 Pacific Ave,214-299-8982,main street district,https://downtowndallas.com/wp-content/uploads/2018/09/HIlton-garden-inn.jpg
HOME 2 SUITES BY HILTON,3301 Gaston ,214-765-2690,Old East Dallas ,https://downtowndallas.com/wp-content/uploads/2018/09/home2-suites-by-hilton.jpg
HOMEWOOD SUITES,1025 Elm Street ,214-748-4000,main street district,https://downtowndallas.com/wp-content/uploads/2018/09/Homewood.jpg
HOTEL INDIGO,1933 Main  Street ,214-741-7700,main street district,https://downtowndallas.com/wp-content/uploads/2018/09/Hotel-indigo.jpeg
HOTEL SAINT GERMAIN,2516 Maple Avenue,214-871-2516,Uptown ,https://downtowndallas.com/wp-content/uploads/2018/09/hotel-st-germain.jpg
HOTEL ZAZA,2332 Leaonard Street ,214-468-8399,Uptown ,https://downtowndallas.com/wp-content/uploads/2018/09/Hotel-zaza.jpg
HYATT REGENCY DALLAS,300 Reunion Blvd,214-651-1234,Reunion District ,https://downtowndallas.com/wp-content/uploads/2018/09/Hyatt_Regency_Dallas-e1546627838881.jpg
LA QUINTA (HOTEL LAWRENCE),302  South Houston Street,214-761-9090,Reunion District ,https://downtowndallas.com/wp-content/uploads/2018/09/la-quinta.jpg
LORENZO HOTEL,1011 S Akard ,214-273-3000,The Cedars ,https://downtowndallas.com/wp-content/uploads/2018/09/lorenzo-hotel.jpg
MAGNOLIA HOTEL,1401 Commerce Street ,214-915-6500,main street district,https://downtowndallas.com/wp-content/uploads/2018/09/Magnolia.jpg
MARRIOTT RESIDENCE INN,1712 commerce ,214-290-0122,main street district,https://downtowndallas.com/wp-content/uploads/2018/09/Marriott-Residence.jpg
MARRIOTT TOWNEPLACE,555 Evergreen Street ,214-749-5155,civic center,https://downtowndallas.com/wp-content/uploads/2018/09/Marriott-Towneplace.jpg
NYLO DALLAS SOUTH SIDE,1325  South Lamar ,214-421-1080,The Cedars ,https://downtowndallas.com/wp-content/uploads/2018/09/Nylo.jpg
OMNI DALLAS CONVENTION CENTER HOTEL,555 South Lamar Stre,214-744-6664,civic center,https://downtowndallas.com/wp-content/uploads/2018/09/Omni-e1546627812676.jpg
PITTMAN HOTEL,2551 Elm st.,469.498.2500,Deep Ellum ,https://downtowndallas.com/wp-content/uploads/2018/11/110608-View-to-downtown-resized-Aerial-Photos-June-8-2011-61.jpg
RITZ CARLTON,2121 Mckinney Avenue,214-922-0200,Uptown ,https://downtowndallas.com/wp-content/uploads/2018/09/ritz-carlton.jpg
ROSEWOOD CRESCENT HOTEL,400 Crescent Court ,214-871-3200,Uptown ,https://downtowndallas.com/wp-content/uploads/2018/09/Rosewood.jpg
SHERATON DALLAS,400 Olive Street ,214-922-8000,main street district,https://downtowndallas.com/wp-content/uploads/2018/09/sheraton.jpg
SPRINGHILL SUITES,1907 N. Lamar Street ,214-999-0500,West End Historic  District ,https://downtowndallas.com/wp-content/uploads/2018/09/Springhill.jpeg
THE GUILD HOTEL DOWNTOWN,1601 Elm st.,(512) 623-7480,Dallas Arts District ,https://downtowndallas.com/wp-content/uploads/2018/11/110608-View-to-downtown-resized-Aerial-Photos-June-8-2011-61.jpg
